Stops,Price,Duration,Month,Airline,Departure-Time-Category
1,1121.0,22.33,11,Emirates,11:00-5:00 PM
2,843.0,29.42,11,British Airways,5:00-11:00 PM
2,701.0,31.5,11,Other Airlines,11:00-5:00 PM
1,1136.0,22.33,11,Emirates,11:00-5:00 PM
1,1146.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,714.0,31.0,11,British Airways,11:00-5:00 PM
3,622.0,34.0,11,Other Airlines,5:00-11:00 PM
2,690.0,32.75,11,Other Airlines,11:00-5:00 PM
3,634.0,33.33,11,Other Airlines,11:00-5:00 PM
2,791.0,30.08,11,British Airways,11:00-5:00 PM
3,634.0,33.33,11,Other Airlines,11:00-5:00 PM
2,1005.0,26.92,11,Other Airlines,5:00-11:00 AM
2,885.0,31.83,11,Other Airlines,11:00-5:00 PM
2,1520.0,26.5,11,Other Airlines,5:00-11:00 AM
3,823.0,33.25,11,Other Airlines,11:00-5:00 PM
1,1144.0,34.75,11,Qantas Airways,5:00-11:00 PM
2,884.0,37.42,11,British Airways,5:00-11:00 PM
2,916.0,32.08,11,Other Airlines,11:00-5:00 PM
2,1267.0,26.08,11,Qantas Airways,5:00-11:00 PM
1,1603.0,22.33,11,Emirates,11:00-5:00 PM
1,1603.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,1171.0,31.33,11,British Airways,11:00-5:00 PM
2,976.0,38.0,11,British Airways,11:00-5:00 PM
2,1295.0,27.58,11,Qantas Airways,5:00-11:00 PM
2,1093.0,35.75,11,Other Airlines,5:00-11:00 AM
2,1439.0,25.0,11,Etihad Airways,5:00-11:00 AM
2,1147.0,34.17,11,Finnair,5:00-11:00 AM
2,1042.0,38.25,11,Etihad Airways,5:00-11:00 AM
2,1042.0,38.25,11,Etihad Airways,5:00-11:00 AM
2,900.0,27.75,11,Other Airlines,11:00-5:00 PM
2,896.0,27.75,11,Other Airlines,11:00-5:00 PM
3,560.0,45.42,11,Other Airlines,5:00-11:00 AM
1,1194.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,909.0,28.08,11,Other Airlines,5:00-11:00 PM
2,936.0,26.92,11,Other Airlines,5:00-11:00 AM
2,902.0,28.75,11,Other Airlines,11:00-5:00 PM
2,829.0,30.5,11,Other Airlines,11:00-5:00 PM
1,1232.0,23.17,11,Emirates,5:00-11:00 PM
1,1244.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,869.0,34.25,11,Other Airlines,11:00-5:00 PM
2,819.0,31.5,11,Other Airlines,11:00-5:00 PM
2,869.0,34.25,11,Other Airlines,11:00-5:00 PM
2,895.0,30.0,11,Other Airlines,11:00-5:00 PM
2,895.0,30.0,11,Other Airlines,11:00-5:00 PM
2,909.0,30.08,11,Other Airlines,11:00-5:00 PM
1,1245.0,23.17,11,Emirates,5:00-11:00 PM
1,1170.0,22.33,11,Qantas Airways,11:00-5:00 PM
2,1147.0,25.83,11,Finnair,5:00-11:00 PM
1,1171.0,22.33,11,Emirates,11:00-5:00 PM
2,1218.0,25.17,11,Other Airlines,5:00-11:00 AM
3,1173.0,26.75,11,KLM,5:00-11:00 PM
2,1198.0,28.5,11,Finnair,5:00-11:00 PM
2,1198.0,30.92,11,Finnair,5:00-11:00 PM
2,1184.0,31.25,11,Emirates,11:00-5:00 PM
2,1547.0,25.42,11,Finnair,5:00-11:00 PM
2,1547.0,26.33,11,Finnair,5:00-11:00 PM
2,1604.0,25.42,11,Finnair,5:00-11:00 PM
