Date,Stops,Price,Duration,Departure-Time,Airline
2024-11-05,3,634.0,33.33,11:10,Other Airlines
2024-11-05,2,791.0,30.08,16:55,British Airways
2024-11-05,3,634.0,33.33,11:10,Other Airlines
2024-11-05,2,1005.0,26.92,06:40,Other Airlines
2024-11-05,2,885.0,31.83,15:30,Other Airlines
2024-11-06,2,1520.0,26.5,07:55,Other Airlines
2024-11-06,3,823.0,33.25,14:10,Other Airlines
2024-11-06,1,1144.0,34.75,20:50,Qantas Airways
2024-11-06,2,884.0,37.42,20:10,British Airways
2024-11-06,2,916.0,32.08,14:10,Other Airlines
2024-11-06,2,1267.0,26.08,20:50,Qantas Airways
2024-11-06,1,1603.0,22.33,13:10,Emirates
2024-11-06,1,1603.0,22.33,13:10,Qantas Airways
2024-11-06,2,1171.0,31.33,16:00,British Airways
2024-11-06,2,976.0,38.0,11:10,British Airways
2024-11-06,2,1295.0,27.58,20:50,Qantas Airways
2024-11-06,2,1093.0,35.75,08:30,Other Airlines
2024-11-06,2,1439.0,25.0,08:25,Etihad Airways
2024-11-06,2,1147.0,34.17,09:45,Finnair
2024-11-06,2,1042.0,38.25,08:25,Etihad Airways
2024-11-06,2,1042.0,38.25,08:25,Etihad Airways
2024-11-07,2,900.0,27.75,16:30,Other Airlines
2024-11-07,2,896.0,27.75,16:30,Other Airlines
2024-11-07,3,560.0,45.42,06:30,Other Airlines
2024-11-07,1,1194.0,22.33,13:10,Qantas Airways
2024-11-07,2,909.0,28.08,18:30,Other Airlines
2024-11-07,2,936.0,26.92,06:40,Other Airlines
2024-11-07,2,902.0,28.75,15:30,Other Airlines
2024-11-07,2,829.0,30.5,16:30,Other Airlines
2024-11-07,1,1232.0,23.17,20:50,Emirates
2024-11-07,1,1244.0,23.17,20:50,Qantas Airways
2024-11-07,2,869.0,34.25,11:50,Other Airlines
2024-11-07,2,819.0,31.5,15:30,Other Airlines
2024-11-07,2,869.0,34.25,11:50,Other Airlines
2024-11-07,2,895.0,30.0,14:15,Other Airlines
2024-11-07,2,895.0,30.0,14:15,Other Airlines
2024-11-07,2,909.0,30.08,16:30,Other Airlines
2024-11-07,1,1245.0,23.17,20:50,Emirates
2024-11-08,1,1170.0,22.33,13:10,Qantas Airways
2024-11-08,2,1147.0,25.83,18:05,Finnair
2024-11-08,1,1171.0,22.33,13:10,Emirates
2024-11-08,2,1218.0,25.17,10:20,Other Airlines
2024-11-08,3,1173.0,26.75,17:25,KLM
2024-11-08,2,1198.0,28.5,18:05,Finnair
2024-11-08,2,1198.0,30.92,18:05,Finnair
2024-11-08,2,1184.0,31.25,13:10,Emirates
2024-11-08,2,1547.0,25.42,18:05,Finnair
2024-11-08,2,1547.0,26.33,18:05,Finnair
2024-11-08,2,1604.0,25.42,18:05,Finnair
2024-11-08,1,1170.0,34.75,20:50,Qantas Airways
2024-11-08,2,1597.0,26.08,20:50,Qantas Airways
2024-11-08,2,1441.0,29.83,16:50,Turkish Airlines
2024-11-08,2,1700.0,25.0,10:30,Other Airlines
2024-11-09,2,1554.0,29.0,14:10,Other Airlines
2024-11-09,1,1197.0,22.33,13:10,Qantas Airways
2024-11-09,3,868.0,34.75,09:45,Other Airlines
2024-11-09,1,1197.0,23.17,20:50,Qantas Airways
2024-11-09,1,1229.0,22.33,13:10,Emirates
2024-11-09,2,1115.0,26.83,16:40,Air France
2024-11-09,1,1229.0,23.17,20:50,Emirates
2024-11-09,2,1115.0,27.75,16:40,Air France
2024-11-09,3,868.0,34.75,09:45,Other Airlines
2024-11-09,2,1081.0,33.75,09:45,Finnair
2024-11-09,1,1197.0,34.75,20:50,Qantas Airways
2024-11-09,3,872.0,34.75,09:45,Other Airlines
2024-11-09,2,1084.0,34.17,09:45,Finnair
2024-11-09,2,1081.0,34.67,09:45,Finnair
2024-11-09,1,1197.0,38.67,20:50,Qantas Airways
2024-11-09,2,1189.0,27.17,17:20,KLM
2024-11-10,2,1731.0,27.17,17:20,KLM
2024-11-10,3,1619.0,27.08,17:20,KLM
2024-11-10,3,1712.0,26.83,17:20,KLM
2024-11-10,2,1997.0,26.17,17:20,KLM
2024-11-10,2,1997.0,27.08,17:20,KLM
2024-11-10,3,1712.0,30.75,13:25,KLM
2024-11-10,2,1997.0,30.08,13:25,KLM
2024-11-11,2,1037.0,27.92,16:00,British Airways
2024-11-11,1,1121.0,22.33,13:10,Emirates
2024-11-11,3,610.0,42.33,08:15,Other Airlines
2024-11-11,1,1132.0,22.33,13:10,Qantas Airways
2024-11-11,1,1146.0,23.17,20:50,Qantas Airways
2024-11-11,1,1146.0,23.17,20:50,Emirates
2024-11-11,2,902.0,30.42,16:55,Turkish Airlines
2024-11-11,2,1081.0,25.17,10:20,Other Airlines
2024-11-11,2,1081.0,25.17,10:20,Other Airlines
2024-11-11,2,1026.0,27.92,16:00,British Airways
2024-11-11,2,1178.0,25.5,18:30,Other Airlines
2024-11-11,2,1067.0,28.42,15:30,British Airways
2024-11-11,2,1077.0,28.42,16:00,British Airways
2024-11-11,2,1178.0,25.0,08:25,Etihad Airways
2024-11-11,2,1178.0,25.5,10:00,Other Airlines
2024-11-11,2,1178.0,25.5,10:00,Other Airlines
2024-11-11,2,1178.0,25.5,08:25,Etihad Airways
2024-11-12,2,1264.0,27.0,07:55,Other Airlines
2024-11-12,2,694.0,30.25,16:50,Turkish Airlines
2024-11-12,3,596.0,50.25,20:10,British Airways
2024-11-12,1,1146.0,22.33,13:10,Qantas Airways
2024-11-12,1,1146.0,22.33,13:10,Emirates
2024-11-12,2,856.0,31.33,16:00,British Airways
2024-11-12,1,1146.0,23.17,20:50,Qantas Airways
2024-11-12,2,997.0,26.83,16:40,Air France
2024-11-12,2,909.0,30.5,16:50,Turkish Airlines
2024-11-12,2,780.0,31.0,16:00,British Airways
2024-11-12,1,1169.0,23.17,20:50,Emirates
2024-11-12,2,997.0,27.75,16:40,Air France
2024-11-12,2,1021.0,30.92,18:05,Finnair
2024-11-12,2,1036.0,26.0,17:55,British Airways
2024-11-12,1,1146.0,30.83,13:10,Qantas Airways
2024-11-12,2,1075.0,25.58,18:40,SWISS
2024-11-12,2,1081.0,25.42,18:05,Finnair
2024-11-13,1,1123.0,23.92,07:55,Other Airlines
2024-11-13,2,623.0,31.5,15:30,Other Airlines
2024-11-13,3,462.0,41.08,07:25,Other Airlines
2024-11-13,2,685.0,28.17,16:55,Turkish Airlines
2024-11-13,2,607.0,32.75,14:15,Other Airlines
2024-11-13,2,891.0,24.92,19:45,Other Airlines
2024-11-13,2,896.0,24.92,19:45,Other Airlines
2024-11-13,1,1101.0,22.33,13:10,Emirates
2024-11-13,1,1075.0,23.92,07:55,Other Airlines
2024-11-13,2,891.0,26.17,18:30,Other Airlines
2024-11-13,2,613.0,34.08,13:20,Other Airlines
2024-11-13,2,789.0,31.83,15:30,Other Airlines
2024-11-13,2,623.0,35.08,15:30,Other Airlines
2024-11-13,1,1101.0,23.17,20:50,Emirates
2024-11-13,2,896.0,26.17,18:30,Other Airlines
2024-11-13,2,707.0,31.0,16:00,British Airways
2024-11-13,2,662.0,32.75,14:15,Other Airlines
2024-11-14,2,1303.0,27.0,07:55,Other Airlines
2024-11-14,2,904.0,25.58,18:40,SWISS
2024-11-14,2,842.0,40.75,16:50,Turkish Airlines
2024-11-14,1,1146.0,22.33,13:10,Qantas Airways
2024-11-14,1,1146.0,22.33,13:10,Emirates
2024-11-14,1,1146.0,23.17,20:50,Qantas Airways
2024-11-14,1,1146.0,23.17,20:50,Emirates
2024-11-14,2,995.0,26.83,16:40,Air France
2024-11-14,2,1081.0,25.42,18:05,Finnair
2024-11-14,2,995.0,27.75,16:40,Air France
2024-11-14,2,1080.0,26.08,17:25,KLM
2024-11-14,2,1097.0,25.17,10:20,Other Airlines
2024-11-14,2,1097.0,25.17,10:20,Other Airlines
2024-11-14,2,1081.0,26.33,18:05,Finnair
2024-11-14,2,1080.0,27.0,17:25,KLM
2024-11-14,2,1088.0,26.83,17:25,Other Airlines
2024-11-14,2,1081.0,27.33,18:05,Finnair
2024-11-15,2,995.0,26.83,16:40,Air France
2024-11-15,1,1145.0,22.33,13:10,Emirates
2024-11-15,2,924.0,26.83,16:40,Air France
2024-11-15,1,1156.0,22.33,13:10,Qantas Airways
2024-11-15,1,1171.0,23.17,20:50,Qantas Airways
2024-11-15,1,1171.0,23.17,20:50,Emirates
2024-11-15,2,924.0,27.75,16:40,Air France
2024-11-15,2,1115.0,25.67,18:15,British Airways
2024-11-15,2,1121.0,25.17,10:20,Other Airlines
2024-11-15,2,1202.0,25.5,18:30,Other Airlines
2024-11-15,3,1080.0,26.75,17:25,KLM
2024-11-15,3,1079.0,27.0,17:25,KLM
2024-11-15,2,1156.0,27.42,16:30,British Airways
2024-11-15,2,1126.0,28.0,15:55,British Airways
2024-11-15,2,1156.0,27.92,16:00,British Airways
2024-11-15,2,1156.0,28.42,15:30,British Airways
2024-11-16,1,1195.0,23.92,07:55,Other Airlines
2024-11-16,3,484.0,35.83,11:10,Other Airlines
2024-11-16,2,641.0,30.5,16:30,Other Airlines
2024-11-16,2,881.0,26.17,07:40,Other Airlines
2024-11-16,1,1125.0,22.33,13:10,Emirates
2024-11-16,2,575.0,36.0,16:30,Other Airlines
2024-11-16,1,1125.0,23.17,20:50,Emirates
2024-11-16,3,484.0,35.83,11:10,Other Airlines
2024-11-16,2,654.0,31.5,15:30,Other Airlines
2024-11-16,2,882.0,27.58,06:15,Other Airlines
2024-11-16,1,1145.0,22.33,13:10,Emirates
2024-11-16,2,896.0,28.08,18:30,Other Airlines
2024-11-16,2,921.0,27.17,06:40,Other Airlines
2024-11-16,1,1156.0,22.33,13:10,Qantas Airways
2024-11-16,1,1121.0,23.92,07:55,Other Airlines
2024-11-16,2,838.0,30.83,16:30,Other Airlines
2024-11-17,2,1303.0,27.0,07:55,Other Airlines
2024-11-17,2,630.0,30.25,16:50,Turkish Airlines
2024-11-17,2,559.0,40.25,06:50,Other Airlines
2024-11-17,1,1146.0,22.33,13:10,Qantas Airways
2024-11-17,2,1027.0,25.42,18:30,British Airways
2024-11-17,2,599.0,33.5,13:35,Other Airlines
2024-11-17,1,1146.0,22.33,13:10,Emirates
2024-11-17,1,1146.0,23.17,20:50,Qantas Airways
2024-11-17,2,625.0,33.67,13:35,Other Airlines
2024-11-17,1,1146.0,23.17,20:50,Emirates
2024-11-17,2,904.0,34.92,09:20,SWISS
2024-11-17,2,978.0,30.5,16:50,Turkish Airlines
2024-11-17,2,1026.0,28.08,15:50,British Airways
2024-11-17,1,1146.0,30.83,13:10,Qantas Airways
2024-11-17,2,1019.0,28.83,05:00,Other Airlines
2024-11-17,2,977.0,32.67,14:40,Turkish Airlines
2024-11-17,2,1027.0,28.08,15:50,British Airways
2024-11-18,2,849.0,54.42,16:55,Turkish Airlines
2024-11-18,2,904.0,25.58,18:40,SWISS
2024-11-18,3,560.0,57.75,18:40,SWISS
2024-11-18,2,890.0,26.83,16:40,Air France
2024-11-18,1,1132.0,22.33,13:10,Qantas Airways
2024-11-18,2,905.0,27.75,16:40,Air France
2024-11-18,1,1146.0,22.33,13:10,Emirates
2024-11-18,2,983.0,25.75,18:40,SWISS
2024-11-18,1,1146.0,23.17,20:50,Emirates
2024-11-18,1,1146.0,23.17,20:50,Qantas Airways
2024-11-18,2,902.0,30.42,16:55,Turkish Airlines
2024-11-18,2,904.0,30.92,13:20,SWISS
2024-11-18,2,885.0,37.42,20:10,British Airways
2024-11-18,2,1009.0,26.08,17:50,British Airways
2024-11-18,2,905.0,34.58,08:55,Air France
2024-11-18,2,980.0,28.83,05:00,Other Airlines
2024-11-18,2,1026.0,27.92,16:00,British Airways
2024-11-19,2,1264.0,27.0,07:55,Other Airlines
2024-11-19,2,912.0,26.83,17:25,Other Airlines
2024-11-19,2,570.0,40.25,06:50,Other Airlines
2024-11-19,2,906.0,26.83,16:40,Air France
2024-11-19,2,838.0,30.5,16:50,Turkish Airlines
2024-11-19,2,1013.0,25.5,18:30,Other Airlines
2024-11-19,1,1146.0,22.33,13:10,Qantas Airways
2024-11-19,1,1146.0,22.33,13:10,Emirates
2024-11-19,2,906.0,27.75,16:40,Air France
2024-11-19,1,1146.0,23.17,20:50,Qantas Airways
